SampleID,SampleType,Well,Location,Plate,Date,Month,mL_Filtered,pMR,plant_reads,plant_QuantIT,plant_uL_pooled,plant_ng_added,plant_norm_reads,aMR,animal_reads,animal_QuantIT,animal_uL_pooled,animal_ng_added,animal_norm_read,xMR,Coast_City,City_Town,Coast_Inland,County,long,lat,DistancetoCoast,Capacity_mgd,PopulationServedK,Per_capita_income_k,Population_density,White_percent,Black_AA_percent,AmericanIndianAlaska_percent,Asian_percent,Hawaiian_PacificIslander_percent,Mixed_percent,HispanicLatino_percent,White_nonHispanic_percent,Foreign_born_percent,High_school_percent,Bachelor_percent,Poverty_percent,CountyBrewery,CityBrewery,HealthInsured_19less,HealthInsured_18_64,FoodInsecure_rate,ChildFoodInsecure,CostPerMeal,InsuredPercent_under19yr,InsuredPercent_18_64,FoodInsecure_percent,LimitedHealthyFoodsAccess_percent,RuralArea_percent,Obesity_20yr_percent,AdultObesity_percent,FoodEnvironmentIndex,ExcessiveDrinking_percent,DrunkDrivingDeaths_percent,Lowbirthweight_percent,Diabetes_20yr_percent,NewDiabetes_perk_20yr
NCWW121720_6,WasteWater,F01,Beaufort,NCWW121720,8/28/2020,8,100,5,710,0.014,15,0.21,710,7,52965,1.104,10.87,12,219275,12,Coast_Town,Town,Coast,carteret,-76.6383,34.7173,0,1.5,3.5,29.322,51.48595304,0.725,0.238,0.012,0.006,0.001,0.019,0.085,0.662,0.036,0.877,0.204,0.201,5,2,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_14,WasteWater,F02,Newport,NCWW121720,9/29/2020,9,100,47,10171,3.42,3.50877193,12,43481,12,19433,1.87,6.42,12,136274,59,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_22,WasteWater,F03,Newport,NCWW121720,10/20/2020,10,100,44,28500,2.826,4.246284501,12,100676,7,57163,0.682,15,10.23,171489,51,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_30,WasteWater,F04,Beaufort,NCWW121720,11/10/2020,11,100,23,1864,0.171,15,2.565,1864,5,18878,0.612,15,9.18,56634,28,Coast_Town,Town,Coast,carteret,-76.6383,34.7173,0,1.5,3.5,29.322,51.48595304,0.725,0.238,0.012,0.006,0.001,0.019,0.085,0.662,0.036,0.877,0.204,0.201,5,2,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_38,WasteWater,F05,Greenville,NCWW121720,11/18/2020,11,100,28,21777,0.772,15,11.58,21777,5,13439,2.194,5.47,12,110569,33,Inland_City,City,Inland,pitt,-77.30678,35.60849,80,17.5,89.616,28.424,264.9765643,0.525,0.392,0.003,0.025,0,0.034,0.043,0.508,0.04,0.928,0.389,0.262,5,2,95.1,85.1,13.1,20.9,3.74,95.1,85.1,16.1,3.156236291,25.43592549,38.8,39.1,7.4,16.51850136,21.10091743,10.46766033,9,10.7
NCWW121720_46,WasteWater,F06,Beaufort,NCWW121720,12/8/2020,12,100,47,31983,0.937,12.80683031,12,37460,5,22124,2.291,5.24,12,190073,52,Coast_Town,Town,Coast,carteret,-76.6383,34.7173,0,1.5,3.5,29.322,51.48595304,0.725,0.238,0.012,0.006,0.001,0.019,0.085,0.662,0.036,0.877,0.204,0.201,5,2,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_54,WasteWater,F07,Morehead City,NCWW121720,7/6/2020,7,100,46,7606,1.766,6.795016988,12,16790,6,48486,1.758,6.83,12,319644,52,Coast_Town,Town,Coast,carteret,-76.7378,34.734,0,10,5.5,36.434,51.48595304,89.05,4.9274,0.3061,1.13,0.07067,2.94,4.34627,86.2,2.69,93.4,37.2,9.2,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_62,WasteWater,F08,Beaufort,NCWW121720,12/1/2020,12,100,39,12935,0.578,15,8.67,12935,8,10355,0.396,15,5.94,31065,47,Coast_Town,Town,Coast,carteret,-76.6383,34.7173,0,1.5,3.5,29.322,51.48595304,0.725,0.238,0.012,0.006,0.001,0.019,0.085,0.662,0.036,0.877,0.204,0.201,5,2,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_70,WasteWater,F09,Newport,NCWW121720,12/15/2020,12,100,43,28637,1.384,8.670520231,12,49542,7,68053,4.89,2.45,12,1247922,50,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_7,WasteWater,G01,Newport,NCWW121720,8/31/2020,8,100,48,29922,1.783,6.73022995,12,66689,6,48754,0.372,15,5.58,146262,54,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_15,WasteWater,G02,Greenville,NCWW121720,9/30/2020,9,100,43,11224,3.201,3.748828491,12,44910,7,23203,4.176,2.87,12,363359,50,Inland_City,City,Inland,pitt,-77.30678,35.60849,80,17.5,89.616,28.424,264.9765643,0.525,0.392,0.003,0.025,0,0.034,0.043,0.508,0.04,0.928,0.389,0.262,5,2,95.1,85.1,13.1,20.9,3.74,95.1,85.1,16.1,3.156236291,25.43592549,38.8,39.1,7.4,16.51850136,21.10091743,10.46766033,9,10.7
NCWW121720_23,WasteWater,G03,Greenville,NCWW121720,10/21/2020,10,100,36,22638,3.97,3.022670025,12,112341,8,12080,9.806,1.22,12,444212,44,Inland_City,City,Inland,pitt,-77.30678,35.60849,80,17.5,89.616,28.424,264.9765643,0.525,0.392,0.003,0.025,0,0.034,0.043,0.508,0.04,0.928,0.389,0.262,5,2,95.1,85.1,13.1,20.9,3.74,95.1,85.1,16.1,3.156236291,25.43592549,38.8,39.1,7.4,16.51850136,21.10091743,10.46766033,9,10.7
NCWW121720_31,WasteWater,G04,Morehead City,NCWW121720,11/10/2020,11,100,40,4339,0.304,15,4.56,4339,11,10937,2.913,4.12,12,119473,51,Coast_Town,Town,Coast,carteret,-76.7378,34.734,0,10,5.5,36.434,51.48595304,89.05,4.9274,0.3061,1.13,0.07067,2.94,4.34627,86.2,2.69,93.4,37.2,9.2,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_39,WasteWater,G05,Greenville,NCWW121720,11/25/2020,11,100,39,26100,5.601,2.142474558,12,182733,4,39273,12.396,1,12.4,1766715,43,Inland_City,City,Inland,pitt,-77.30678,35.60849,80,17.5,89.616,28.424,264.9765643,0.525,0.392,0.003,0.025,0,0.034,0.043,0.508,0.04,0.928,0.389,0.262,5,2,95.1,85.1,13.1,20.9,3.74,95.1,85.1,16.1,3.156236291,25.43592549,38.8,39.1,7.4,16.51850136,21.10091743,10.46766033,9,10.7
NCWW121720_47,WasteWater,G06,Morehead City,NCWW121720,12/8/2020,12,100,39,29251,1.403,8.553100499,12,51299,4,17177,6.995,1.72,12,450574,43,Coast_Town,Town,Coast,carteret,-76.7378,34.734,0,10,5.5,36.434,51.48595304,89.05,4.9274,0.3061,1.13,0.07067,2.94,4.34627,86.2,2.69,93.4,37.2,9.2,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_55,WasteWater,G07,Morehead City,NCWW121720,7/13/2020,7,100,48,12522,1.297,9.252120278,12,20301,16,49436,1.613,7.44,12,299026,64,Coast_Town,Town,Coast,carteret,-76.7378,34.734,0,10,5.5,36.434,51.48595304,89.05,4.9274,0.3061,1.13,0.07067,2.94,4.34627,86.2,2.69,93.4,37.2,9.2,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_63,WasteWater,G08,Morehead City,NCWW121720,12/1/2020,12,100,44,11487,0.676,15,10.14,11487,12,17587,6.023,1.99,12,397224,56,Coast_Town,Town,Coast,carteret,-76.7378,34.734,0,10,5.5,36.434,51.48595304,89.05,4.9274,0.3061,1.13,0.07067,2.94,4.34627,86.2,2.69,93.4,37.2,9.2,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_8,WasteWater,H01,Newport,NCWW121720,9/10/2020,9,100,43,42982,3.312,3.623188406,12,177945,9,11561,1.6,7.5,12,69366,52,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_16,WasteWater,H02,Newport,NCWW121720,10/6/2020,10,100,44,11305,5.022,2.38948626,12,70967,9,12702,5.616,2.14,12,267504,53,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_24,WasteWater,H03,Beaufort,NCWW121720,10/28/2020,10,100,39,25943,2.105,5.700712589,12,68263,12,11994,2.458,4.88,12,110555,51,Coast_Town,Town,Coast,carteret,-76.6383,34.7173,0,1.5,3.5,29.322,51.48595304,0.725,0.238,0.012,0.006,0.001,0.019,0.085,0.662,0.036,0.877,0.204,0.201,5,2,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_32,WasteWater,H04,Newport,NCWW121720,11/10/2020,11,100,35,4159,0.342,15,5.13,4159,9,56773,2.741,4.38,12,583555,44,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_40,WasteWater,H05,Greenville,NCWW121720,12/2/2020,12,100,31,18283,2.196,5.464480874,12,50187,3,21781,7.42,1.62,12,606056,34,Inland_City,City,Inland,pitt,-77.30678,35.60849,80,17.5,89.616,28.424,264.9765643,0.525,0.392,0.003,0.025,0,0.034,0.043,0.508,0.04,0.928,0.389,0.262,5,2,95.1,85.1,13.1,20.9,3.74,95.1,85.1,16.1,3.156236291,25.43592549,38.8,39.1,7.4,16.51850136,21.10091743,10.46766033,9,10.7
NCWW121720_48,WasteWater,H06,Newport,NCWW121720,12/9/2020,12,100,30,42386,1.954,6.141248721,12,103528,3,19993,3.532,3.4,12,264807,33,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_56,WasteWater,H07,Newport,NCWW121720,7/7/2020,7,100,1,117,0.111,15,1.665,117,3,4463,1.032,11.63,12,17272,4,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_64,WasteWater,H08,Newport,NCWW121720,12/1/2020,12,100,52,11703,0.464,15,6.96,11703,6,8070,8.81,1.36,12,266613,58,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW022621_9,WasteWater,A02,Charlotte 2,NCWW022621,12/7/2020,12,20,57,33729,0.951,12.61829653,12,200477,10,70912,0.452,15,6.78,1063680,67,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_17,WasteWater,A03,Charlotte 2,NCWW022621,11/23/2020,11,20,61,20547,3.103,3.867225266,12,398483,12,43530,1.089,11.02,12,888828,73,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_25,WasteWater,A04,Charlotte 3,NCWW022621,11/16/2020,11,20,59,23014,3.597,3.336113428,12,517383,8,63353,0.071,15,1.07,945854,67,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_49,WasteWater,A07,Charlotte 2,NCWW022621,9/2/2020,9,20,57,33462,7.606,1.577701814,12,1590700,7,71868,0.527,15,7.91,1077339,64,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_57,WasteWater,A08,Charlotte 3,NCWW022621,9/23/2020,9,20,57,13072,0.698,15,10.47,65360,9,52576,4.299,2.79,12,4237954,66,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_65,WasteWater,A09,Charlotte 4,NCWW022621,10/7/2020,10,20,42,10751,3.917,3.063569058,12,263198,6,45456,0.463,15,6.95,681349,48,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_73,WasteWater,A10,Charlotte 2,NCWW022621,10/2/2020,10,20,50,7821,6.747,1.778568253,12,329802,10,53205,1.152,10.42,12,1149228,60,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_81,WasteWater,A11,Charlotte 3,NCWW022621,11/4/2020,11,20,57,29694,1.908,6.289308176,12,354101,10,59436,1.47,8.16,12,1638205,67,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_10,WasteWater,B02,Charlotte 1,NCWW022621,12/7/2020,12,20,48,16788,0.365,15,5.475,83940,5,70615,2.592,4.63,12,3431889,53,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_18,WasteWater,B03,Charlotte 1,NCWW022621,11/23/2020,11,20,56,19792,3.743,3.205984504,12,463009,7,32192,2.846,4.22,12,1717846,63,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_26,WasteWater,B04,Charlotte 2,NCWW022621,11/16/2020,11,20,47,38944,1.943,6.176016469,12,472926,10,49389,1.237,9.7,12,1145516,57,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_42,WasteWater,B06,Charlotte 4,NCWW022621,11/4/2020,11,20,50,9383,4.619,2.597964927,12,270875,8,35678,2.85,4.21,12,1906543,58,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_50,WasteWater,B07,Charlotte 1,NCWW022621,9/2/2020,9,20,70,38408,5.732,2.093510119,12,1375967,9,74163,1.242,9.66,12,1727071,79,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_58,WasteWater,B08,Charlotte 2,NCWW022621,9/23/2020,9,20,35,19869,0.818,14.66992665,12,101580,4,61279,0.073,15,1.1,915007,39,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
